calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.01,0.009,20,-0.018485276852352163,-0.0036239979234801477,-0.02,0.0
1,0.01,0.009,20,0.0022369436622173607,0.008928297015300141,0.0,0.019
2,0.01,0.009,20,-0.018604173145079533,-0.02135353497055605,-0.02,-0.019
3,0.01,0.009,20,-0.050119492007637254,0.0084595338468084,-0.05,0.01
0,0.01,0.009,20,-0.019291050734563178,-0.0015625345417282991,-0.02,0.0
1,0.01,0.009,20,0.0019152169779547965,0.00908930680287892,0.0,0.019
2,0.01,0.009,20,-0.019190851754124806,-0.021608669387356515,-0.02,-0.019
3,0.01,0.009,20,-0.04894596991753088,0.010453270952046022,-0.05,0.01
0,0.01,0.009,20,-0.019503095009664392,-0.0023643740475873904,-0.02,0.0
1,0.01,0.009,20,0.0027201093326063817,0.009237735430465488,0.0,0.019
2,0.01,0.009,20,-0.019013679407613143,-0.02400809588994747,-0.02,-0.019
3,0.01,0.009,20,-0.048959059509136926,0.007142394199630804,-0.05,0.01
0,0.01,0.0009,20,-0.02258089394453032,0.0024199700836433215,-0.02,0.0
1,0.01,0.0009,20,0.002524949175010947,0.021244385635799036,0.0,0.019
2,0.01,0.0009,20,-0.017826938512342263,-0.0211375040847099,-0.02,-0.019
3,0.01,0.0009,20,-0.046598850112272376,0.008644747823602248,-0.05,0.01
0,0.01,0.0009,20,-0.022289371041948985,-0.0004889633063894818,-0.02,0.0
1,0.01,0.0009,20,0.0023844069302297252,0.021013224094471882,0.0,0.019
2,0.01,0.0009,20,-0.016812454048550467,-0.021294362234348004,-0.02,-0.019
3,0.01,0.0009,20,-0.04705895687187428,0.008809965432837272,-0.05,0.01
0,0.01,0.0009,20,-0.022583707237957225,-0.001500044189158594,-0.02,0.0
1,0.01,0.0009,20,0.002522349986500553,0.02140673336059295,0.0,0.019
2,0.01,0.0009,20,-0.017234430733674238,-0.02050724389740363,-0.02,-0.019
3,0.01,0.0009,20,-0.046532676750450766,0.009656213570206443,-0.05,0.01
0,0.01,0.0009,20,-0.021540634145878645,-0.0016794849610065868,-0.02,0.0
1,0.01,0.0009,20,0.001895457607683784,0.01820826806076273,0.0,0.019
2,0.01,0.0009,20,-0.018156287765818263,-0.020470460146531214,-0.02,-0.019
3,0.01,0.0009,20,-0.045075202729433626,0.008755141116240006,-0.05,0.01
0,0.01,0.0009,20,-0.02080112103820041,-0.002044726875223638,-0.02,0.0
1,0.01,0.0009,20,0.00011946950825380486,0.01995697415220141,0.0,0.019
2,0.01,0.0009,20,-0.01824206251567469,-0.0170460175084656,-0.02,-0.019
3,0.01,0.0009,20,-0.044977534862727,0.009041852879702019,-0.05,0.01
0,0.001,0.017,20,-0.01975832105400743,-0.00013054983790502692,-0.02,0.0
1,0.001,0.017,20,0.00024697031425883955,0.01877228230504467,0.0,0.019
2,0.001,0.017,20,-0.020588768580813533,-0.020145867524940984,-0.02,-0.019
3,0.001,0.017,20,-0.04987172178002709,0.010252639841600724,-0.05,0.01
0,0.001,0.017,20,-0.01974292130825964,-6.573315343684884e-07,-0.02,0.0
1,0.001,0.017,20,0.00021243904317942518,0.018691675534209053,0.0,0.019
2,0.001,0.017,20,-0.020535969181832123,-0.020123043733439417,-0.02,-0.019
3,0.001,0.017,20,-0.04972334534895884,0.010154414704205972,-0.05,0.01
0,0.001,0.017,20,-0.019693961624670697,2.6646702645039288e-05,-0.02,0.0
1,0.001,0.017,20,0.00025466263065054704,0.01870958202673603,0.0,0.019
2,0.001,0.017,20,-0.020519053737461518,-0.020105347940163422,-0.02,-0.019
3,0.001,0.017,20,-0.049783142976682494,0.010511175756223718,-0.05,0.01
0,0.001,0.017,20,-0.019790565833179872,1.0167673563830028e-06,-0.02,0.0
1,0.001,0.017,20,0.00030270206203481757,0.01840172647994326,0.0,0.019
2,0.001,0.017,20,-0.020383203143736244,-0.020108074172901596,-0.02,-0.019
3,0.001,0.017,20,-0.04979006826292183,0.010502977660993966,-0.05,0.01
0,0.001,0.017,20,-0.019746368584517164,4.8569268953301215e-05,-0.02,0.0
1,0.001,0.017,20,0.00029167007399564913,0.018470254112654332,0.0,0.019
2,0.001,0.017,20,-0.020374436390451178,-0.020118482903132815,-0.02,-0.019
3,0.001,0.017,20,-0.049774150121920456,0.010499600123818327,-0.05,0.01
0,0.001,0.009,20,-0.020424905725835222,0.0003350821180811056,-0.02,0.0
1,0.001,0.009,20,-0.0003179026797302958,0.018630936329990074,0.0,0.019
2,0.001,0.009,20,-0.020250075205834193,-0.018869478867697752,-0.02,-0.019
3,0.001,0.009,20,-0.0494802499716615,0.010180324260848396,-0.05,0.01
0,0.001,0.009,20,-0.02029900919256231,0.00032332911484818464,-0.02,0.0
1,0.001,0.009,20,-0.00037198698812663806,0.018715178475688033,0.0,0.019
2,0.001,0.009,20,-0.020139008243206948,-0.01885640055382358,-0.02,-0.019
3,0.001,0.009,20,-0.04963977010874417,0.010102501636067643,-0.05,0.01
0,0.001,0.009,20,-0.020251622977413355,6.93779568507057e-05,-0.02,0.0
1,0.001,0.009,20,-0.00043867100398351465,0.01873843680339589,0.0,0.019
2,0.001,0.009,20,-0.020185839746719593,-0.018849459689472374,-0.02,-0.019
3,0.001,0.009,20,-0.049858352170867225,0.010091494266611233,-0.05,0.01
0,0.001,0.009,20,-0.020317368299153385,4.9612624863378615e-05,-0.02,0.0
1,0.001,0.009,20,-0.0002420713560177592,0.019188032093733202,0.0,0.019
2,0.001,0.009,20,-0.020303285450923445,-0.01885765572900016,-0.02,-0.019
3,0.001,0.009,20,-0.049851132219105816,0.010054070361665729,-0.05,0.01
0,0.001,0.009,20,-0.020470492165458504,-0.00016823361842613344,-0.02,0.0
1,0.001,0.009,20,-0.0002590331802183087,0.0190298435500067,0.0,0.019
2,0.001,0.009,20,-0.02037869513605804,-0.01872284019642323,-0.02,-0.019
3,0.001,0.009,20,-0.04962365082444478,0.01016901630560537,-0.05,0.01
0,0.001,0.0009,20,-0.02010697963596626,8.248047330885764e-05,-0.02,0.0
1,0.001,0.0009,20,0.0001954793474824655,0.01825798944494678,0.0,0.019
2,0.001,0.0009,20,-0.020223249786096326,-0.019916228481903782,-0.02,-0.019
3,0.001,0.0009,20,-0.049643193622802555,0.011146148002891433,-0.05,0.01
0,0.001,0.0009,20,-0.020162782506785885,0.00030149101124928983,-0.02,0.0
1,0.001,0.0009,20,0.00021431913918935606,0.018303475285393004,0.0,0.019
2,0.001,0.0009,20,-0.020004838935154038,-0.019917244385315808,-0.02,-0.019
3,0.001,0.0009,20,-0.049770388620248504,0.011198116224092636,-0.05,0.01
0,0.001,0.0009,20,-0.020142825027853674,0.0003148958218053867,-0.02,0.0
1,0.001,0.0009,20,0.00029234859672723024,0.018521059586466822,0.0,0.019
2,0.001,0.0009,20,-0.02011937661805876,-0.01992499146473646,-0.02,-0.019
3,0.001,0.0009,20,-0.04973020735133273,0.011209019573596213,-0.05,0.01
0,0.001,0.0009,20,-0.020234129704305905,0.0004080700047429927,-0.02,0.0
1,0.001,0.0009,20,0.00032423427601871235,0.018381101481040493,0.0,0.019
2,0.001,0.0009,20,-0.019822941314643582,-0.019639012652366332,-0.02,-0.019
3,0.001,0.0009,20,-0.049797137230669745,0.011243438504160586,-0.05,0.01
0,0.001,0.0009,20,-0.020325297719913784,0.0003025302341560842,-0.02,0.0
1,0.001,0.0009,20,0.00030851751482271816,0.018419018235247615,0.0,0.019
2,0.001,0.0009,20,-0.01986263842314095,-0.019690273696295654,-0.02,-0.019
3,0.001,0.0009,20,-0.04978788754755875,0.011172656144995147,-0.05,0.01
