calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_name
2,0.001,0.0009,15,-0.020407811345168895,-0.017718864284529866,-0.02,-0.019,1.5345760277872327e-07,5.542770924109011e-07,5.542770924109011e-07,3.7597943489620247e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.04644352873722875,0.02930693460363412,-0.05,0.01,2.5561610674453647e-07,-1.3045260991632382e-06,-1.3045260991632382e-06,9.248747808493973e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.02005676246313554,-0.0014395507832993223,-0.02,0.0,7.782061086097434e-08,2.70142104751168e-07,2.70142104751168e-07,8.557158395391429e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.0004895548082908558,0.020708772947021316,0.0,0.019,1.7140174010509614e-07,-7.624525003127335e-07,-7.624525003127335e-07,5.78964255922908e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.02036665474231741,-0.017073863006906442,-0.02,-0.019,1.3312244306572326e-07,4.246832496802954e-07,4.246832496802954e-07,2.950578399033787e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.04538595475822178,0.004738730273233816,-0.05,0.01,7.274427216412638e-08,4.068004831919761e-08,4.068004831919761e-08,1.6386936517772809e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.020201246168067382,-0.002567702602028656,-0.02,0.0,8.727135583068822e-08,3.9088949954621005e-07,3.9088949954621005e-07,8.536944745356798e-06,-15 to 15 deg
1,0.001,0.0009,15,-0.0006254562489374908,0.022504864446924334,0.0,0.019,1.637897031354127e-07,-7.633426299215151e-07,-7.633426299215151e-07,6.268365161709941e-06,-15 to 15 deg
2,0.001,0.0009,15,-0.02020672627197953,-0.015578097943881907,-0.02,-0.019,1.7925543018371702e-07,6.704067587918873e-07,6.704067587918873e-07,4.182261135842098e-06,-15 to 15 deg
3,0.001,0.0009,15,-0.04576935993588295,0.03252788465377701,-0.05,0.01,1.0098868293022515e-07,-2.2973797705265761e-07,-2.2973797705265761e-07,1.91911090249494e-06,-15 to 15 deg
0,0.001,0.0009,15,-0.019659674403854698,-0.00018642655615631074,-0.02,0.0,2.990687084888588e-07,1.7058199031961235e-07,1.7058199031961235e-07,2.155347292735234e-07,-90 to 0 deg
1,0.001,0.0009,15,-0.00015090153553555313,0.018992310238111165,0.0,0.019,2.9764666747816476e-07,3.194093003590812e-07,3.194093003590812e-07,5.382132323324764e-07,-90 to 0 deg
2,0.001,0.0009,15,-0.02107669708117224,-0.019760390596179372,-0.02,-0.019,5.240034341403856e-07,3.709428078579269e-07,3.709428078579269e-07,3.812783969243242e-07,-90 to 0 deg
3,0.001,0.0009,15,-0.047328722676714084,0.023411622695409286,-0.05,0.01,2.0634396691377633e-07,8.921173086775064e-08,8.921173086775064e-08,1.608774263760518e-07,-90 to 0 deg
