calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
3,0.05,0.009,20,-0.017790858536004185,0.009486222388925963,-0.05,0.01
0,0.05,0.009,20,-0.007210277956376506,-0.010473277277527778,-0.02,0.0
1,0.05,0.009,20,0.0029793884684351972,0.05056351245248467,0.0,0.019
2,0.05,0.009,20,-0.015585160209431365,-0.0007092449195455278,-0.02,-0.019
3,0.05,0.009,20,-0.1087429856594102,0.10636913375959159,-0.05,0.01
0,0.05,0.0009,20,-0.043755134398210875,0.004198449752847294,-0.02,0.0
1,0.05,0.0009,20,0.0048662937689132445,0.013476601000313091,0.0,0.019
2,0.05,0.0009,20,-0.0047803395757898826,-0.056398682757552034,-0.02,-0.019
3,0.05,0.0009,20,0.012332769783602773,0.05141846478047311,-0.05,0.01
0,0.05,0.0009,20,-0.049147049314701007,0.011258814095636626,-0.02,0.0
1,0.05,0.0009,20,0.013269910609925968,0.019408020520530964,0.0,0.019
2,0.05,0.0009,20,-0.0037988604498347227,-0.05045301133214424,-0.02,-0.019
3,0.05,0.0009,20,-0.03027106741750116,0.13867996794408838,-0.05,0.01
0,0.05,0.0009,20,-0.05042269726044625,0.009083669005477097,-0.02,0.0
1,0.05,0.0009,20,0.01343497368854768,0.019209170855380518,0.0,0.019
2,0.05,0.0009,20,0.04709130858017321,-0.08421549902769342,-0.02,-0.019
3,0.05,0.0009,20,0.09392412247903832,0.1113435862149762,-0.05,0.01
0,0.05,0.0009,20,-0.04977641392690307,0.010966648526817526,-0.02,0.0
1,0.05,0.0009,20,0.012077772330279705,0.017763208054839368,0.0,0.019
2,0.05,0.0009,20,0.03931703728920816,-0.09100726442500515,-0.02,-0.019
3,0.05,0.0009,20,0.01777720970870965,0.043791802197265604,-0.05,0.01
0,0.05,0.0009,20,-0.047765102549520294,0.008153881845786814,-0.02,0.0
1,0.05,0.0009,20,0.007051708933397008,0.02608632589456562,0.0,0.019
2,0.05,0.0009,20,0.06747654936556126,-0.03976952904312053,-0.02,-0.019
3,0.05,0.0009,20,0.042072415902701395,0.055757701173285414,-0.05,0.01
0,0.01,0.017,20,-0.017448107397838357,0.0034355250814143905,-0.02,0.0
1,0.01,0.017,20,-0.0035620051536264154,0.019276580816842366,0.0,0.019
2,0.01,0.017,20,-0.021031273578180874,-0.023714065533639646,-0.02,-0.019
3,0.01,0.017,20,-0.04934115092191693,0.031096916478017836,-0.05,0.01
0,0.01,0.017,20,-0.017456326702306228,0.003629534611894146,-0.02,0.0
1,0.01,0.017,20,-0.002392370060396631,0.02169042752047796,0.0,0.019
2,0.01,0.017,20,-0.022747259121657343,-0.02459547790648949,-0.02,-0.019
