sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.05,0.09,0.009,20,True,7,8,0.9151304229103389,0.0005034499345530389,-0.022170515361433052,-0.010337375848420711,2.737280217051283e-06
0.05,0.09,0.009,20,True,0,1,0.9209664537750806,0.0005020656278156228,-0.05213193548993095,0.008663636549356457,3.7161551385312355e-06
0.05,0.09,0.009,20,False,0,6,20.880023557257065,0.0005002009328106472,-0.15424314152617025,-0.021988620025655718,-0.00038170160781034955
0.05,0.09,0.009,20,False,0,3,24.43885597688018,0.0005001044617245001,-0.15426243314900615,-0.00314105574696404,-6.866938370249423e-05
0.05,0.09,0.009,20,True,1,2,0.8720357772765164,0.0005040089362126721,-0.012047980374972725,-0.012648938414851516,-1.6001631728401895e-06
0.05,0.09,0.009,20,True,3,4,1.2325608888583819,0.0005036451392964038,-0.018295623268459876,0.007696545219952703,-3.3995426440819385e-06
0.05,0.09,0.009,20,False,3,6,17.821759042695163,0.000500171828804182,-0.13683541661652743,-0.013614619231911684,0.0002253818410954375
0.05,0.09,0.009,20,False,3,0,16.70962212136696,0.0005003255673640763,-0.11706300849162257,-0.005323858539338177,-2.847672380037723e-05
0.05,0.09,0.009,20,True,4,5,1.253453003167586,0.0005043817689032329,-0.005758754355125659,0.014664200597113587,-3.105368737120879e-05
0.05,0.09,0.009,20,False,6,0,11.810944502634877,0.0005005320791299679,-0.10887927682548354,0.02087607930773277,-0.00018551939968528079
0.05,0.09,0.009,20,True,6,7,1.2733821401645886,0.0005036869878809486,-0.017510101376402517,-0.0075560514502515455,5.624665256531755e-05
0.05,0.09,0.009,20,False,6,3,15.6090210664524,0.0005001132351652974,-0.14225452838190408,0.003331839292835267,-0.00025406669926139407
0.05,0.09,0.009,20,True,7,8,0.9151304229103389,0.0005034499345530389,-0.022170515361433052,-0.010337375848420711,2.737280217051283e-06
0.05,0.09,0.0009,20,True,4,5,0.7384919406908848,0.0005045552215363729,-0.0017855458003142876,-0.0034142323829808,8.647939039901756e-06
0.05,0.09,0.0009,20,True,6,7,0.8268768937153652,0.0005036001410910407,-0.018984680194404097,0.010185324958300369,-3.641295192050924e-05
0.05,0.09,0.0009,20,False,3,6,11.233030821918685,0.0005002105340990359,-0.12875692965806937,-0.010002339060688552,0.00039895030212924693
0.05,0.09,0.0009,20,True,4,5,0.7413083736662626,0.0005045644626114927,-0.001725326034021775,-0.006275278942477152,2.906797711630346e-06
0.05,0.09,0.0009,20,True,6,7,0.833558280575627,0.0005035750107893046,-0.019390076560030133,0.00926610508177605,-4.445552863530615e-05
0.05,0.09,0.0009,20,True,7,8,0.8737068715049403,0.0005049298008595244,0.003759106847911865,-0.013591602910685755,-9.539602528689907e-06
0.05,0.09,0.0009,20,True,0,1,1.364354336438291,0.0005018202179309678,-0.0581544439443299,-0.00739055085421307,1.766998447631588e-05
0.05,0.09,0.0009,20,False,3,6,11.19935750656692,0.0005002088508054654,-0.1328204620309598,-0.01574417093361901,0.0003357875535283119
0.05,0.09,0.0009,20,True,4,5,0.7413083736662626,0.0005045644626114927,-0.001725326034021775,-0.006275278942477152,2.906797711630346e-06
0.05,0.09,0.0009,20,True,6,7,0.833558280575627,0.0005035750107893046,-0.019390076560030133,0.00926610508177605,-4.445552863530615e-05
0.05,0.09,0.0009,20,True,7,8,0.8809848842837603,0.0005050325560999878,0.005012601577181925,-0.017449178261776038,-6.704420031706069e-06
0.05,0.09,0.0009,20,True,0,1,1.444819232542725,0.0005019077849425508,-0.055758732731211805,-0.006378764609609647,9.304494068195247e-06
0.05,0.09,0.0009,20,False,0,6,23.9105700683279,0.0005001545159761768,-0.13966137561544928,-0.012967284932187679,-4.661255201761895e-05
0.05,0.09,0.0009,20,False,3,0,11.830168314704071,0.0005001115113209503,-0.1433775551275732,-0.004368464338765697,0.00030470252357965046
