sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,movement_name
0.001,0.0017,0.0009,15,False,0,2,1376.7016615618434,4.0000009574677687e-07,-0.14945227352138682,0.00016470572577858303,-0.047384780681954584,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,1413.8459589787708,4.0000015615110085e-07,-0.1493313613094624,-0.00046391941060480637,-0.047687195686675475,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,1444.313675756428,4.0000009580212946e-07,-0.15055279689441778,-0.00014800344690630554,0.007699561162432256,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.1231721398108792,4.0280040301929495e-07,-0.02045850435649423,-0.0002455578245573747,-0.0006037101885470804,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,1421.4135297999117,4.0000009467318855e-07,-0.14983134681155158,-0.0005791846949094386,0.008527445759449102,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1726.5539559109006,4.000001517276694e-07,-0.1506312733647004,0.00048500285054695947,-0.0005901014579831759,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,1690.6299891310741,4.0000010595678046e-07,-0.1501521308051394,0.0006431325890279246,0.0005401993710727526,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,1.3315747039468453,4.0281181256247016e-07,-0.020194615950530938,-1.2839392984889944e-06,-0.00048818079456986726,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,1,925.7583964824087,4.0279399083173367e-07,-0.020634670679726616,0.0016982976080066748,0.014009877721455418,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,1,3856.429587271209,4.000032384827119e-07,-0.15046150966032654,0.0021240978128034163,-0.051181298209768224,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,3,2920.762818104457,4.0000318382774367e-07,-0.150391825501193,-0.0006144746281737669,0.033228154066876014,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,5,2033.1408279658378,4.027778796954903e-07,-0.02107474922691572,-0.0038923514952715855,-0.021568388006523345,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,3,1990.6675027020437,4.027916877485768e-07,-0.02075660378905118,0.003977351711080789,0.021706664805373997,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,3,1026.1243561255735,4.028051911376509e-07,-0.02036785126825706,0.0003891886562457649,0.0029374644711870476,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,5,5341.36071420748,4.0000764257155387e-07,-0.15090723433911224,-0.0039401062752441795,-0.05249700381253678,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,3,4261.980985333398,4.0000773024513283e-07,-0.1508701064297919,0.00401952517021467,0.015176343386484674,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,1,1639.7998636283837,4.028116087066179e-07,-0.0205850745762949,0.009634642059885488,0.06003528898138513,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,5,2916.28606667633,4.000146234466667e-07,-0.1503802627543657,-0.007979487408783927,-0.018068197255068343,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,1,2756.268318046928,4.0001467885615356e-07,-0.15036940871323415,0.008002386510223773,0.06340665083608293,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,5,1484.8763186641268,4.028080322429247e-07,-0.02044818956356271,-0.0060302983872719965,-0.035312367581621935,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,1.2427466313741033,4.0280092433256075e-07,-0.020447534786362097,-0.0005469054572776688,0.0008428708051698428,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,982.8639383133963,4.0000016086343715e-07,-0.14993715558512014,-0.0008763870350432751,0.019026758344899045,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,952.6529562840961,4.0000010561084537e-07,-0.1506180632279637,-0.00024409602541951357,0.019053941352858157,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,1625.3046368974772,4.000001636830093e-07,-0.14999653230542956,0.0008889317690088169,0.020493591542395273,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.479580034468177,4.027947415583344e-07,-0.020591380241384582,0.0007690313941761149,0.00020243692698989222,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,1703.0063470421876,4.000001603044405e-07,-0.1506149296094942,0.0006128693392260803,0.020361372458063322,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1318.5421652845457,4.000001087727923e-07,-0.14938023579286866,0.0002790978618389484,-0.013027929135206328,-15 to 15 deg
