sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,n_obs
0.05,0.09,0.017,20,False,3,1,27.19587755327874,0.0005016256722175331,-0.0645925734165144,0.010367040114351987,-0.0001379742334152451,20
0.05,0.09,0.017,20,True,4,5,1.224236593396804,0.0005027460473983744,-0.03686405563470632,0.0057621305540461795,4.8210662721524076e-05,20
0.05,0.09,0.017,20,False,6,0,15.762444639894781,0.0005001369058092386,-0.13983860838541057,0.009039361424673625,-0.00044483188455242363,20
0.05,0.09,0.017,20,True,0,1,0.9726630337443426,0.0005030399049153863,-0.03149089409948727,-0.01459557410125597,-9.520157651588566e-07,20
0.05,0.09,0.017,20,False,4,2,14.527033356807863,0.0005032522645110201,-0.026399034151996282,-0.0030960942898402154,0.00013270955129591772,20
0.05,0.09,0.017,20,False,6,3,16.81195771657026,0.0005002451451355935,-0.12340226383833965,0.001492060581632878,-0.000450705049849209,20
0.05,0.09,0.017,20,False,6,4,11.106906159610046,0.000503274150612452,-0.025933738728831816,-0.0007059277675080763,-0.000136835304077266,20
0.05,0.09,0.017,20,False,1,4,20.27385143095142,0.0005003543688803787,-0.12495127178400557,0.02473318637144254,0.0005416869952714869,20
0.05,0.09,0.017,20,False,4,1,37.59935047061276,0.0005003604437133226,-0.14189138872317628,-0.03468532418035158,-0.000336767209612736,20
0.05,0.09,0.017,20,False,4,3,52.13761457442312,0.0005006060391372967,-0.1988396152891113,0.008561786496884395,-0.0002374454974831837,20
0.05,0.09,0.017,20,True,7,8,1.2422973701200357,0.0005025870760860735,-0.042850144349054785,0.024108695067401077,4.3749879597400495e-05,20
0.05,0.09,0.017,20,False,7,3,31.12746327667481,0.000500420758685042,-0.18628947773061402,-0.01561379029939059,-0.0005152356970212226,20
0.05,0.09,0.017,20,False,3,5,18.277348493354673,0.0005054892272404181,0.011649215688020052,0.00046909071512762934,-0.000168548489413498,20
0.05,0.09,0.017,20,False,7,1,26.085304289317026,0.0005003074945154348,-0.13221427172018355,-0.026374026705344143,-0.0002676223155486844,20
0.05,0.09,0.017,20,False,7,6,27.93126561261429,0.0005003511914286838,-0.1832611074661212,-0.010833824437675667,-8.463635405202058e-05,20
0.05,0.09,0.017,20,False,0,7,13.397520123563137,0.0005037949814657261,-0.017450498554752357,0.01866075913661464,0.0005853549219562334,20
0.05,0.09,0.017,20,False,1,3,70.14325205644363,0.0005004535030768012,-0.1867224069918668,-0.01925479975102162,0.0010934435866077324,20
0.05,0.09,0.017,20,True,1,2,1.496539256838464,0.0005052050929897578,0.007327761474928032,0.0011400915331369848,-1.5700125121232157e-05,20
0.05,0.09,0.009,20,True,3,4,0.836616783739992,0.000503229489478937,-0.02723471340857055,-0.017146503226373896,4.2098908444882676e-05,20
0.05,0.09,0.009,20,True,0,1,0.9779291206144292,0.0005033829892784139,-0.02321910408202826,-0.006729236633845246,-2.3144292159083907e-05,20
0.05,0.09,0.009,20,False,6,3,22.047041881194723,0.0005003633712029572,-0.11993840073458713,-0.019875386671588995,0.0008198080409041302,20
0.05,0.09,0.009,20,False,3,6,35.03239213884305,0.0005001400891285026,-0.14557110140958765,0.013538134611148282,-0.00027452746018570773,20
0.05,0.09,0.009,20,True,6,7,1.118093455741485,0.0005043032760282875,-0.007898756074863218,-0.021037568580030207,5.140059095639703e-05,20
0.05,0.09,0.009,20,True,1,2,0.8818398917922423,0.0005026872376247995,-0.03988841934314682,-0.02407171739763215,-2.1128620919237167e-05,20
0.05,0.09,0.009,20,True,4,5,0.9791161767386297,0.0005047564638483104,0.0006420957891204987,0.012903318429304629,-4.155400153931799e-05,20
0.05,0.09,0.009,20,False,6,0,31.995091928701953,0.0005001518918620944,-0.1351243864901772,-0.006287401669743864,0.0010543170520545637,20
0.05,0.09,0.009,20,False,3,0,30.715868360147045,0.0005003273779399211,-0.12092213853705928,0.016629113522569152,-0.00021161674632292713,20
0.05,0.09,0.009,20,False,0,3,7.99775865038116,0.0005002331335039927,-0.12630648119622076,-0.009907282882931892,-0.0001246386783113502,20
0.05,0.09,0.009,20,True,7,8,1.2714735656123433,0.0005040038256741658,-0.011560395924708755,-0.00037785053983125283,3.697529972645782e-05,20
0.05,0.09,0.009,20,False,0,6,6.966867239809902,0.000500135873966086,-0.14609573847608803,-0.012921285422572633,-8.718420966034068e-05,20
0.05,0.09,0.009,20,False,0,7,24.136581457265265,0.0005017907804657572,-0.05952553509033987,-0.010889396043657601,-0.00038518618206066535,20
0.05,0.09,0.009,20,False,3,1,27.237864283485855,0.0005026849220244726,-0.03906930175516621,-0.019654622723040506,-4.076919428413662e-05,20
